epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
469,22839587170009953,3029,1337390,1057388294908,1022,22626278110250357,1286794,2007,213309059759596,50596
470,22861134936826292,3025,1338696,1058385876705,1019,22645126230754411,1288010,2006,216008706071881,50686
471,22860653065403081,3023,1339065,1058363567843,1016,22646492286129890,1288321,2007,214160779273191,50744
472,22761022830643560,3019,1338937,1053751056974,1017,22551174486417657,1287966,2002,209848344225903,50971
473,22735428098786274,3021,1339204,1052566115685,1018,22525952797079173,1288167,2003,209475301707101,51037
474,22719453098782785,3025,1339125,1051826532351,1021,22509953669448009,1288817,2004,209499429334776,50308
475,22715556235537756,3020,1339631,1051646122016,1023,22507673519382602,1288875,1997,207882716155154,50756
476,22705372932636708,3022,1340422,1051174672807,1023,22495833478458326,1289256,1999,209539454178382,51166
477,22697968340213296,3012,1340361,1050831867602,1017,22483287024028661,1287358,1995,214681316184635,53003
478,22639199712419476,3011,1340997,1048111097797,1014,22422228523522530,1286159,1997,216971188896946,54838
479,22641739799139393,3012,1341417,1048228694405,1016,22425762255590771,1287426,1996,215977543548622,53991
480,22661310740997364,3019,1341999,1049134756528,1015,22444330379772069,1286333,2004,216980361225295,55666
481,22654534217562355,3022,1342389,1048821028591,1015,22441278384414836,1287005,2007,213255833147519,55384
482,22653275811843579,3023,1342987,1048762769067,1020,22443031656179841,1289207,2003,210244155663738,53780
483,22681562360727143,3028,1343482,1050072331515,1017,22467613193548297,1289453,2011,213949167178846,54029
484,22686138659428115,3038,1343968,1050284197196,1021,22477038680425125,1291817,2017,209099979002990,52151
485,22695629742500528,3040,1344320,1050723599190,1021,22487253592439882,1292194,2019,208376150060646,52126
486,22706311003437400,3047,1344347,1051218102011,1021,22497953299592500,1292328,2026,208357703844900,52019
487,22710321196091239,3048,1344475,1051403759078,1023,22503648370448642,1291435,2025,206672825642597,53040
488,22700671337272854,3048,1344666,1050957006355,1025,22494657799047651,1291810,2023,206013538225203,52856
489,22705703216591345,3047,1344997,1051189963731,1024,22499684988424904,1290414,2023,206018228166441,54583
490,22734331818384852,3044,1345286,1052515361962,1030,22531803734122898,1292767,2014,202528084261954,52519
491,22736272601621351,3041,1345644,1052605213038,1030,22534108167903916,1293167,2011,202164433717435,52477
492,22732567937784555,3041,1346023,1052433700823,1031,22531302301942062,1293302,2010,201265635842493,52721
493,22744116768308459,3040,1346201,1052968368903,1033,22544306247835517,1293720,2007,199810520472942,52481
494,22756607315444624,3038,1346627,1053546634974,1033,22556475977336905,1294302,2005,200131338107719,52325
495,22771232974796474,3035,1346982,1054223748833,1029,22569731005172675,1293930,2006,201501969623799,53052
496,22789583284062206,3036,1347382,1055073300188,1029,22583782171339941,1294167,2007,205801112722265,53215
497,22801813336374511,3036,1346235,1055639506314,1028,22594188787603443,1293628,2008,207624548771068,52607
